H01	6.79	739.29
H02	11.27	277.98
H03	58.92	978.6
H04	110.18	877.78
H05	150.56	757.88
H06	158.92	803.94
H07	166.32	186.48
H08	176.86	980.53
H09	169.07	797.91
H10	219.26	953.14
H11	209.71	297.23
H12	271.09	590.43
H13	318.91	852.4
H14	356.73	783.47
H15	455.98	975.2
H16	460.96	394.12
H17	485.4	534.91
H18	507.01	880.3
H19	530.06	871.72
H20	605.58	695.42
H21	664.21	943.43
H22	697.04	238.49
H23	732.18	587.26
H24	769.78	265.92
H25	806.02	706.71
H26	859.72	386.03
H27	902.25	279.16
H28	954.18	351.66
H29	1005.41	320.21
