G01	22.77	328.8
G02	29.24	431.41
G03	59.25	103.16
G04	56.82	867.24
G05	70.31	978.7
G06	68.94	670.41
G07	123.7	776.23
G08	126.43	294.83
G09	124.69	574.967
G10	162.95	445.94
G11	183.36	887.32
G12	171.05	459.26
G13	178.32	349.02
G14	176.86	505.38
G15	185.1	680.03
G16	187.25	500.09
G17	228.42	656.02
G18	258.28	212.97
G19	288.04	987.54
G20	300.47	300.32
G21	332.69	563.67
G22	374.3	498.11
G23	437.01	74.76
G24	460.77	693.11
G25	484.8	158.6
G26	502.94	114.87
G27	493.94	269.72
G28	518.26	258.68
G29	517.27	603.46
G30	540.66	596.53
G31	627.55	427.1
G32	668.6	675.71
G33	708.44	610.08
G34	761.68	327.43
G35	823.56	4.54
G36	826.51	451.5
G37	838.97	392.79
G38	905.08	132.88
G39	956.54	26.81
G40	994.97	1005.55
G41	1003.12	104.16
